#separator:tab
#html:false
#notetype column:1
#deck column:2
Q/R exemple	Allemand::Conjonctions de subordination	Dass	Que	Er sagt, dass er morgen Zeit hat.
Q/R exemple	Allemand::Conjonctions de subordination	Ob	Si (interrogation)	Ich möchte wissen, ob wir morgen Unterricht haben.
Q/R exemple	Allemand::Conjonctions de subordination	Als (temps)	Quand (fait unique au passé)	Als die Berliner Mauer fiel, war ich in Berlin.
Q/R exemple	Allemand::Conjonctions de subordination	Wenn (temps)	Quand (fait au futur, présent, ou répétitif au passé)	Wenn ich zu meinen Großeltern fuhr, nahm ich (immer) den Zug.
Q/R exemple	Allemand::Conjonctions de subordination	Wann	Quand (interrogation, moment indéterminé)	Du kannst kommen, wann du willst.
Q/R exemple	Allemand::Conjonctions de subordination	Bevor/ehe	Avant que (antériorité)	Bevor das Kind ins Bett geht, bekommt es eine Gutenachtgeschichte.
Q/R exemple	Allemand::Conjonctions de subordination	Nachdem	Après que	Nachdem sie geduscht hat, föhnt sie sich immer die Haare.
Q/R exemple	Allemand::Conjonctions de subordination	Während	Pendant que, alors que, \text{tan}dis que (opposition)	Während sie Schach spielten,  klingelte plötzlich das Telefon.
Q/R exemple	Allemand::Conjonctions de subordination	Seit/seitdem	Depuis que	Seit sie verheiratet waren, liebte er sie noch mehr.
Q/R exemple	Allemand::Conjonctions de subordination	Bis	Jusqu'à ce que	Warte, bis ich zurückkomme.
Q/R exemple	Allemand::Conjonctions de subordination	Sobald	Dès que, aussitôt que	Sobald er mit dem Essen fertig war, ging er in den Garten.
Q/R exemple	Allemand::Conjonctions de subordination	Solange	Aussi longtemps que, \text{tan}t que	Solange ihr nicht regelmäßig deutsche Bücher im Original lest, werdet ihr keine Fortschritte machen.
Q/R exemple	Allemand::Conjonctions de subordination	Sooft	Aussi souvent que, toutes les fois que, \text{ch}aque fois que	Sooft ich ihn sah, war er immer gut gekleidet.
Q/R exemple	Allemand::Conjonctions de subordination	Wenn (Condition)	Si (Condition)	Wenn du Durst hat, musst du mehr Wasser trinken.
Q/R exemple	Allemand::Conjonctions de subordination	Falls	Au cas où	Falls du über Berlin fährst, vergisst nicht, dir den Potsdamer Platz anzuschauen.
Q/R exemple	Allemand::Conjonctions de subordination	Soweit, (in)sofern	Dans la mesure où, (pour) autant que	Soweit ich weiß, ist das Schwimmbad morgen wieder geöffnet.
Q/R exemple	Allemand::Conjonctions de subordination	Es sei denn, (dass)	À moins que	Wir können morgen leider nicht kommen, es sei denn, wir finden noch einen Babysitter.
Q/R exemple	Allemand::Conjonctions de subordination	Vorausgesetzt, (dass)	À supposer que, pourvu que	Der Turnhalle wird nächstes jahr renoviert, vorausgesetzt, dass der Stadtrat die nötigen Mittel zur Verfügung stellt.
Q/R exemple	Allemand::Conjonctions de subordination	Weil	Parce que	Er studierte Mechanik, weil er bei BMW arbeiten möchte.
Q/R exemple	Allemand::Conjonctions de subordination	Da	Comme, puisque, étant donné que	Da es so stark regnete, nahm ich meinen Regenschirm mit.
Q/R exemple	Allemand::Conjonctions de subordination	Zumal	D'autant (plus) que	Ein Praktikum in Deutschland kann ich dir nur empfehlen, zumal du später dort arbeiten willst.
