#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Suite convergente / divergente	Une suite est divergente si elle admet une limite réelle et divergente sinon.					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Limites monotones	Toute suite croissante (APCR) a une limite réelle ou \( +\infty\), selon si elle est majorée ou non. De même pour les suites décroissantes. La monotonie est une condition suffisante d'existence de limite réelle ou infinie.					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Suites adjacentes	 \( (u_n), (v_n) \in \mathbb R^{\mathbb N} \) sont adjacentes ssi \( (u_n) \) est croissante, \( (v_n) \) décroissante et \( u_n - v_n \xrightarrow[n \rightarrow +\infty]{} 0\).					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Comparaison des suites adjacentes	Si deux suites \( (u_n), (v_n) \) sont adjacentes, \( u_n \le v_n\).					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Convergence des suites adjacentes	Deux suites adjacentes convergent et ont la même limite.					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Bolzano-Weierstrass	Toute suite réelle bornée admet au moins une valeur d'adhérence.					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Caractérisation topologique des valeurs d'adhérence	\( a \in \mathbb R \) est une valeur d'adhérence de \( u \in \mathbb R^{\mathbb N} \) ssi:  \( \forall \varepsilon > 0, \forall N \in \mathbb N, \exists n \ge N, |u_n - a| \le \varepsilon\)					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Bolzano-Weierstrass, extension complexe	Toute suite complexe bornée \( (u_n) \) admet au moins une valeur d'adhérence, et \( (u_n)\) converge vers cette valeur si elle est unique.					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Suite de Cauchy	Une suite \( u \in \mathbb K^{\mathbb N} \) est de Cauchy ssi:  \( \forall \varepsilon > 0, \exists n_0 \in \mathbb N, \forall n \ge n_0, \forall m \ge n_0, |u_n - u_m| \le \varepsilon\)					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Propriétés des suites de Cauchy	- Toute suite de Cauchy est bornée - Toute suite convergente est de Cauchy					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Convergence des suites de Cauchy	Toute suite de Cauchy à valeurs dans \( \mathbb K = \mathbb R , \mathbb C\) y est convergente.					
Basique Maths	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Trigonométrie	\(\text{cos}^2(x) + \text{sin}^2(x)\)	 \( \forall x \in \mathbb R, \text{cos}^2(x) + \text{sin}^2(x) = 1\)					
Basique Maths	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Trigonométrie	\(1 + \text{tan}^2(x)\)	 \( \forall x \in \mathbb R \backslash \{\frac{\pi}{2} + k\pi, k \in \mathbb Z\}, 1 + \text{tan}^2(x) = \frac{1}{\text{cos}^2(x)}\)					
Basique Maths	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Trigonométrie	\(\text{cos}(-x)\)	 \( \text{cos}(-x) = \text{cos}(x)\)					
Basique Maths	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Trigonométrie	\(\text{cos}(\frac{\pi}{2} - x)\)	 \( \text{cos}(\frac{\pi}{2} - x) = \text{sin}(x)\)					
Basique Maths	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Trigonométrie	\(\text{cos}(\frac{\pi}{2} + x)\)	 \( \text{cos}(\frac{\pi}{2} + x) = -\text{sin}(x)\)					
Basique Maths	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Trigonométrie	\(\text{cos}(\pi - x)\)	 \( \text{cos}(\pi - x) = -\text{cos}(x)\)					
Basique Maths	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Trigonométrie	\(\text{cos}(\pi + x)\)	 \( \text{cos}(\pi + x) = -\text{cos}(x)\)					
Basique Maths	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Trigonométrie	\(\text{sin}(-x)\)	 \( \text{sin}(-x) = -\text{sin}(x)\)					
Basique Maths	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Trigonométrie	\(\text{sin}(\frac{\pi}{2} - x)\)	 \( \text{sin}(\frac{\pi}{2} - x) = \text{cos}(x)\)					
Basique Maths	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Trigonométrie	\(\text{sin}(\frac{\pi}{2} + x)\)	 \( \text{sin}(\frac{\pi}{2} + x) = \text{cos}(x)\)					
Basique Maths	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Trigonométrie	\(\text{sin}(\pi - x)\)	 \( \text{sin}(\pi - x) = \text{sin}(x)\)					
Basique Maths	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Trigonométrie	\(\text{sin}(\pi + x)\)	 \( \text{sin}(\pi + x) = -\text{sin}(x)\)					
